Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
59,14,9,98,1,Some Random Commen with Id 59
60,15,3,153,5,Some Random Commen with Id 60
61,15,3,191,9,Some Random Commen with Id 61
62,15,3,150,1,Some Random Commen with Id 62
63,15,3,80,2,Some Random Commen with Id 63
64,15,3,144,4,Some Random Commen with Id 64
65,16,5,6,2,Some Random Commen with Id 65
66,16,5,27,8,Some Random Commen with Id 66
67,16,5,169,0,Some Random Commen with Id 67
68,16,5,50,6,Some Random Commen with Id 68
69,16,5,160,9,Some Random Commen with Id 69
70,16,5,123,7,Some Random Commen with Id 70
71,16,5,42,5,Some Random Commen with Id 71
72,17,0,100,9,Some Random Commen with Id 72
73,17,0,153,2,Some Random Commen with Id 73
74,17,0,38,6,Some Random Commen with Id 74
75,18,7,76,0,Some Random Commen with Id 75
76,18,7,151,4,Some Random Commen with Id 76
77,19,6,23,4,Some Random Commen with Id 77
78,19,6,12,0,Some Random Commen with Id 78
79,19,6,90,4,Some Random Commen with Id 79
80,19,6,154,9,Some Random Commen with Id 80
81,19,6,77,2,Some Random Commen with Id 81
82,19,6,196,2,Some Random Commen with Id 82
83,19,6,18,8,Some Random Commen with Id 83
84,19,6,102,5,Some Random Commen with Id 84
85,19,6,175,9,Some Random Commen with Id 85
86,20,5,71,1,Some Random Commen with Id 86
87,20,5,192,6,Some Random Commen with Id 87
88,20,5,98,8,Some Random Commen with Id 88
89,20,5,27,5,Some Random Commen with Id 89
90,20,5,59,8,Some Random Commen with Id 90
91,20,5,21,2,Some Random Commen with Id 91
92,20,5,142,6,Some Random Commen with Id 92
93,20,5,26,1,Some Random Commen with Id 93
94,20,5,52,4,Some Random Commen with Id 94
95,21,5,36,2,Some Random Commen with Id 95
96,21,5,68,6,Some Random Commen with Id 96
97,21,5,104,9,Some Random Commen with Id 97
98,21,5,166,3,Some Random Commen with Id 98
99,21,5,153,7,Some Random Commen with Id 99
100,21,5,195,9,Some Random Commen with Id 100
101,21,5,96,3,Some Random Commen with Id 101
102,21,5,89,0,Some Random Commen with Id 102
103,22,6,1,0,Some Random Commen with Id 103
104,22,6,175,5,Some Random Commen with Id 104
105,22,6,122,2,Some Random Commen with Id 105
106,22,6,104,3,Some Random Commen with Id 106
107,22,6,186,4,Some Random Commen with Id 107
108,23,2,177,0,Some Random Commen with Id 108
109,23,2,155,4,Some Random Commen with Id 109
110,23,2,5,0,Some Random Commen with Id 110
111,24,6,4,4,Some Random Commen with Id 111
112,24,6,153,6,Some Random Commen with Id 112
113,24,6,169,1,Some Random Commen with Id 113
114,24,6,1,5,Some Random Commen with Id 114
115,24,6,78,1,Some Random Commen with Id 115
116,24,6,53,2,Some Random Commen with Id 116
117,24,6,194,4,Some Random Commen with Id 117
118,25,1,151,7,Some Random Commen with Id 118
119,26,3,186,2,Some Random Commen with Id 119
120,26,3,139,6,Some Random Commen with Id 120
121,27,2,119,1,Some Random Commen with Id 121
122,27,2,58,4,Some Random Commen with Id 122
123,27,2,199,5,Some Random Commen with Id 123
124,27,2,197,5,Some Random Commen with Id 124
125,27,2,105,4,Some Random Commen with Id 125
126,27,2,105,2,Some Random Commen with Id 126
127,27,2,102,0,Some Random Commen with Id 127
128,27,2,123,1,Some Random Commen with Id 128
129,28,4,112,8,Some Random Commen with Id 129
130,29,6,57,2,Some Random Commen with Id 130
131,29,6,198,4,Some Random Commen with Id 131
132,29,6,166,9,Some Random Commen with Id 132
133,29,6,81,5,Some Random Commen with Id 133
134,29,6,48,6,Some Random Commen with Id 134
135,29,6,10,1,Some Random Commen with Id 135
136,29,6,24,1,Some Random Commen with Id 136
137,29,6,17,5,Some Random Commen with Id 137
138,29,6,117,6,Some Random Commen with Id 138
139,30,5,181,6,Some Random Commen with Id 139
140,30,5,154,6,Some Random Commen with Id 140
141,30,5,196,2,Some Random Commen with Id 141
142,30,5,49,5,Some Random Commen with Id 142
143,30,5,106,8,Some Random Commen with Id 143
144,30,5,169,7,Some Random Commen with Id 144
145,30,5,92,8,Some Random Commen with Id 145
146,30,5,130,7,Some Random Commen with Id 146
147,32,9,63,2,Some Random Commen with Id 147
148,32,9,138,5,Some Random Commen with Id 148
149,32,9,105,6,Some Random Commen with Id 149
150,32,9,41,4,Some Random Commen with Id 150
151,33,6,22,0,Some Random Commen with Id 151
152,33,6,68,6,Some Random Commen with Id 152
153,33,6,163,8,Some Random Commen with Id 153
154,34,2,130,5,Some Random Commen with Id 154
155,34,2,113,5,Some Random Commen with Id 155
156,34,2,160,8,Some Random Commen with Id 156
157,34,2,164,8,Some Random Commen with Id 157
158,34,2,161,4,Some Random Commen with Id 158
159,35,5,70,8,Some Random Commen with Id 159
160,35,5,47,5,Some Random Commen with Id 160
161,35,5,90,1,Some Random Commen with Id 161
162,35,5,28,1,Some Random Commen with Id 162
163,35,5,172,0,Some Random Commen with Id 163
164,35,5,170,1,Some Random Commen with Id 164
165,35,5,105,6,Some Random Commen with Id 165
166,36,3,42,4,Some Random Commen with Id 166
167,36,3,65,8,Some Random Commen with Id 167
168,36,3,166,9,Some Random Commen with Id 168
169,36,3,155,2,Some Random Commen with Id 169
170,36,3,4,5,Some Random Commen with Id 170
171,36,3,92,3,Some Random Commen with Id 171
172,36,3,47,2,Some Random Commen with Id 172
173,36,3,93,6,Some Random Commen with Id 173
174,36,3,85,2,Some Random Commen with Id 174
175,37,7,30,8,Some Random Commen with Id 175
176,37,7,91,7,Some Random Commen with Id 176
177,37,7,118,6,Some Random Commen with Id 177
178,37,7,86,2,Some Random Commen with Id 178
179,37,7,143,3,Some Random Commen with Id 179
180,37,7,12,9,Some Random Commen with Id 180
181,38,6,94,1,Some Random Commen with Id 181
182,38,6,23,6,Some Random Commen with Id 182
183,38,6,108,3,Some Random Commen with Id 183
184,38,6,104,6,Some Random Commen with Id 184
185,38,6,162,4,Some Random Commen with Id 185
186,39,4,190,7,Some Random Commen with Id 186
187,39,4,90,8,Some Random Commen with Id 187
188,39,4,109,3,Some Random Commen with Id 188
189,39,4,122,9,Some Random Commen with Id 189
190,39,4,34,2,Some Random Commen with Id 190
